stratum	repository	stars	size_kb	language	fork
security	0x4m4/hexstrike-ai	11635	2175	Python	false
general	233boy/v2ray	29572	927	Shell	false
non-english	2noise/ChatTTS	39820	10772	Python	false
large	3b1b/manim	93440	77262	Python	false
general	521xueweihan/HelloGitHub	175350	9332	Python	false
general	78/xiaozhi-esp32	29707	10788	C++	false
malware-analysis	A-poc/BlueTeam-Tools	4479	141	none	false
security	A-poc/RedTeam-Tools	9696	158	none	false
malware-analysis	a0rtega/pafish	3943	1267	C	false
general	acmesh-official/acme.sh	47601	7970	Shell	false
general	adam-p/markdown-here	60247	17985	JavaScript	false
general	addyosmani/agent-skills	92880	1084	JavaScript	false
general	airbnb/javascript	148181	3738	JavaScript	false
general	ajeetdsouza/zoxide	39245	5018	Rust	false
general	alacritty/alacritty	65657	14582	Rust	false
general	alan2207/bulletproof-react	35803	2249	TypeScript	false
small	alexbarry/AlexCalc	60	4387	C++	false
general	algorithm-visualizer/algorithm-visualizer	48724	21182	JavaScript	false
general	alibaba/canal	29730	24261	Java	false
general	AlistGo/alist	50152	6761	Go	false
general	anthropics/skills	175095	4763	Python	false
general	anuraghazra/github-readme-stats	79847	7741	JavaScript	false
small	Apich-Organization/bincode	60	5173	Rust	false
malware-analysis	APKLab/APKLab	3966	7747	TypeScript	false
docs-only	architecture-decision-record/architecture-decision-record	16850	605	JavaScript	false
general	aristocratos/btop	34453	10037	C++	false
small	aroffringa/glight	60	3292	C++	false
general	asgeirtj/system_prompts_leaks	64390	11305	JavaScript	false
general	ashishps1/awesome-low-level-design	26651	15979	Java	false
general	ashishps1/awesome-system-design-resources	41232	2340	Java	false
general	asmvik/yabai	29572	7457	C	false
testfixtures	avajs/ava	20827	14188	JavaScript	false
general	avelino/awesome-go	183477	12497	Go	false
docs-only	awesome-selfhosted/awesome-selfhosted	317827	17166	none	false
dotfiles	ayamir/nvimdots	3418	16472	Lua	false
dotfiles	Aylur/dotfiles	3099	15061	Nix	false
small	badboy/whatrustisit	60	907	HTML	false
non-english	baichuan-inc/Baichuan-7B	5648	4012	Python	false
general	barryvdh/laravel-ide-helper	14960	1903	PHP	false
general	base/node	68391	3037	Shell	false
general	basecamp/kamal	14565	3278	Ruby	false
general	bayandin/awesome-awesomeness	33659	381	Ruby	false
security	bee-san/Ciphey	21594	24556	Rust	false
malware-analysis	bee-san/pyWhat	7324	6239	Python	false
security	bee-san/RustScan	20381	14737	Rust	false
general	bilibili/ijkplayer	33204	8283	C	false
large	binary-husky/gpt_academic	71303	72756	Python	false
general	binarywang/WxJava	33070	20623	Java	false
docs-only	binhnguyennus/awesome-scalability	73794	1607	none	false
small	boostorg/optional	60	2723	C++	false
general	briannesbitt/Carbon	16598	21643	PHP	false
general	BurntSushi/ripgrep	68073	5700	Rust	false
small	ButThouMust/kamaitachi-sfc-english	60	6804	Assembly	false
security	byt3bl33d3r/CrackMapExec	9163	10321	Python	false
small	bytecodealliance/target-lexicon	60	196	Rust	false
large	bytedance/deer-flow	81956	61510	Python	false
general	caddyserver/caddy	75562	21879	Go	false
dotfiles	caelestia-dots/shell	12125	13477	QML	false
general	capistrano/capistrano	12993	4655	Ruby	false
general	casey/just	35685	18098	Rust	false
small	centrifugal/centrifuge-python	60	370	Python	false
general	cfenollosa/os-tutorial	30695	107	C	false
non-english	Chaoses-Ib/IbEverythingExt	1908	1197	C++	false
docs-only	charlax/professional-programming	51496	4689	Python	false
general	charmbracelet/bubbletea	44841	5901	Go	false
general	ChatGPTNextWeb/NextChat	88719	21025	TypeScript	false
docs-only	cheat/cheat	13446	10394	Go	false
general	chenglou/pretext	50233	3039	TypeScript	false
general	ChromeDevTools/chrome-devtools-mcp	51316	10822	TypeScript	false
testfixtures	chromedp/chromedp	13275	2884	Go	false
docs-only	chubin/cheat.sh	41730	4717	Python	false
security	CISOfy/lynis	16302	8874	Shell	false
general	cjpais/Handy	31168	14318	Rust	false
non-english	CLUEbenchmark/CLUEDatasetSearch	4456	9301	Python	false
general	colbymchenry/codegraph	70008	21593	C	false
large	Comfy-Org/ComfyUI	132003	97171	Python	false
general	crossoverJie/JCSprout	26843	1191	Java	false
general	Crosstalk-Solutions/project-nomad	36582	14640	TypeScript	false
small	CSCfi/pytorch-ddp-examples	60	82	Python	false
general	dandavison/delta	32114	11374	Rust	false
general	dani-garcia/vaultwarden	67000	12997	Rust	false
general	DayuanJiang/next-ai-draw-io	35693	6773	TypeScript	false
security	decalage2/awesome-security-hardening	6546	186	none	false
malware-analysis	decalage2/oletools	3412	5453	Python	false
general	deepseek-ai/DeepSeek-V3	104431	1768	Python	false
general	DesignPatternsPHP/DesignPatternsPHP	22187	6214	PHP	false
general	DietrichGebert/ponytail	131320	2694	JavaScript	false
general	digininja/DVWA	13625	3001	PHP	false
docs-only	DigitalPlatDev/FreeDomain	198094	1144	Markdown	false
small	dima-dencep/rrls	60	1540	Java	false
general	dockur/windows	53197	2611	Shell	false
docs-only	docmost/docmost	21605	14777	TypeScript	false
general	docusealco/docuseal	18469	7932	Ruby	false
general	donnemartin/system-design-primer	368645	11277	Python	false
docs-only	DopplerHQ/awesome-interview-questions	84414	488	none	false
security	dstotijn/hetty	12400	1698	Go	false
dotfiles	dustinlyons/nixos-config	3615	9239	Nix	false
general	easychen/howto-make-more-money	18642	7943	PHP	false
general	EbookFoundation/free-programming-books	396229	21888	Python	false
security	edoardottt/awesome-hacker-search-engines	11140	864	Shell	false
general	ehang-io/nps	34210	9168	Go	false
non-english	Embedding/Chinese-Word-Vectors	12228	1485	Python	false
docs-only	enaqx/awesome-react	74527	2637	none	false
dotfiles	end-4/dots-hyprland	16021	24581	QML	false
testfixtures	enzymejs/enzyme	19815	7893	JavaScript	false
general	erusev/parsedown	15058	1512	PHP	false
general	evanw/esbuild	40046	20899	Go	false
general	expressjs/express	69457	9861	JavaScript	false
security	fail2ban/fail2ban	18559	13100	Python	false
general	faker-ruby/faker	11934	15045	Ruby	false
general	fastapi/full-stack-fastapi-template	45443	7041	TypeScript	false
general	fastfetch-cli/fastfetch	24560	18536	C	false
small	fedora-infra/fedora-messaging	60	3149	Python	false
docs-only	fffaraz/awesome-cpp	73178	2606	none	false
security	ffuf/ffuf	16652	987	Go	false
large	fighting41love/funNLP	82949	174188	Python	false
general	FiloSottile/mkcert	59563	1799	Go	false
general	filp/whoops	13233	1740	PHP	false
general	Fission-AI/OpenSpec	67600	9019	TypeScript	false
general	flarum/flarum	16391	756	PHP	false
general	fluent/fluentd	13581	21302	Ruby	false
general	fmtlib/fmt	25658	17724	C++	false
general	fruitcake/laravel-debugbar	19276	15694	PHP	false
general	FuelLabs/fuels-rs	43036	20144	Rust	false
general	Genymobile/scrcpy	149108	9010	C	false
general	ggreer/the_silver_searcher	27120	2426	C	false
general	gin-gonic/gin	89187	10619	Go	false
docs-only	github/opensource.guide	15673	20348	HTML	false
general	github/spec-kit	133972	16905	Python	false
security	gitleaks/gitleaks	29159	6460	Go	false
general	glanceapp/glance	36924	20521	Go	false
non-english	go-ego/gse	2843	21909	Go	false
general	go-gorm/gorm	39950	4827	Go	false
testfixtures	goldbergyoni/javascript-testing-best-practices	24624	10417	JavaScript	false
general	google/flatbuffers	26446	22255	C++	false
general	google/googletest	39504	14236	C++	false
general	google/leveldb	39394	1848	C++	false
